Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:40:10,99,240MiB / 3911MiB,216.61MB/4.91MB,1.30MB/0.92MB
2025-08-22 00:40:14,100,240MiB / 3911MiB,216.61MB/4.91MB,1.28MB/0.92MB
2025-08-22 00:40:18,100,240MiB / 3911MiB,216.61MB/4.91MB,1.26MB/0.93MB
2025-08-22 00:40:22,100,240MiB / 3911MiB,216.61MB/4.91MB,1.24MB/0.88MB
2025-08-22 00:40:27,100,240MiB / 3911MiB,216.61MB/4.91MB,1.22MB/0.87MB
2025-08-22 00:40:31,100,241MiB / 3911MiB,216.61MB/4.91MB,1.20MB/0.86MB
2025-08-22 00:40:35,100,241MiB / 3911MiB,216.61MB/4.91MB,1.19MB/0.84MB
2025-08-22 00:40:39,100,241MiB / 3911MiB,216.61MB/4.91MB,1.17MB/0.83MB
2025-08-22 00:40:43,100,240MiB / 3911MiB,216.61MB/4.91MB,1.15MB/0.82MB
2025-08-22 00:40:47,100,240MiB / 3911MiB,216.61MB/4.91MB,1.14MB/0.81MB
2025-08-22 00:40:51,100,240MiB / 3911MiB,216.61MB/4.91MB,1.12MB/0.86MB
2025-08-22 00:40:56,100,249MiB / 3911MiB,216.61MB/4.91MB,1.11MB/0.82MB
2025-08-22 00:41:00,100,249MiB / 3911MiB,216.61MB/4.91MB,1.09MB/0.83MB
2025-08-22 00:41:04,100,249MiB / 3911MiB,216.61MB/4.91MB,1.08MB/0.77MB
